District,Total Population,White (NH),Black (NH),Hispanic, Asian and Pacific Islander (NH),Native American (NH),Other (NH),Pres08 Total Vote,Pres08 Dem Vote,Pres08 Rep Vote
0,0,0,0,0,0,0,0,0,0,0
1,728067,485897,125562,69945,23418,2599,20646,337608,160894,173945
2,727323,451425,162873,49971,36384,2484,24186,319352,163150,153398
3,726875,281161,378471,30374,14997,2969,18903,336038,242028,91829
4,726809,422442,232784,39498,14901,2230,14954,349081,175551,171014
5,726920,525029,155471,21199,11458,1773,11990,343765,163298,177159
6,726723,597147,70377,34836,10337,1426,12600,326255,138508,184222
7,727480,519388,124975,36689,29030,1858,15540,372079,171848,197292
8,728153,389809,98073,137845,79499,1468,21459,344159,235746,105595
9,727353,659263,36335,13904,8287,1185,8379,306763,123420,179003
10,727466,475082,49206,80422,99141,1286,22329,344537,184574,157311
11,727855,379807,89577,117142,113907,1401,26021,337268,200515,134237
